City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nenjiang,CN,49.1833,125.2167,-3.44,90,24,2.64,few clouds
79,Hovd,MN,48.0056,91.6419,-14.3,76,10,2.95,clear sky
80,Tuktoyaktuk,CA,69.4541,-133.0374,-28.16,100,100,8.21,overcast clouds
81,Bud,US,39.447,-86.1758,19.49,85,8,6.69,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,68.29,93,11,9.62,few clouds
83,Aksarka,RU,66.5606,67.7975,-20.96,100,75,3.74,broken clouds
84,Te Anau,NZ,-45.4167,167.7167,64.06,40,2,5.37,clear sky
85,Thinadhoo,MV,0.5333,72.9333,81.64,71,4,7.27,clear sky
86,Barrow,US,71.2906,-156.7887,-20.18,69,0,11.5,clear sky
87,Lorengau,PG,-2.0226,147.2712,84.51,70,100,8.81,overcast clouds
88,Okato,NZ,-39.2,173.8833,63.91,97,100,14.23,light rain
89,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,98,18.16,light rain
90,Najran,SA,17.4924,44.1277,60.93,59,0,4.61,clear sky
91,San Quintin,MX,30.4833,-115.95,59.76,36,0,6.4,clear sky
92,Lazaro Cardenas,MX,17.9583,-102.2,75.85,72,0,5.66,clear sky
93,Aranos,NA,-24.1333,19.1167,74.17,60,98,5.12,light rain
94,Manokwari,ID,-0.8667,134.0833,82.51,68,100,3.98,overcast clouds
95,Yumen,CN,40.2833,97.2,15.01,50,100,14.65,overcast clouds
96,Castillo De Teayo,MX,20.75,-97.6167,59.45,61,2,4.16,clear sky
97,Arraial Do Cabo,BR,-22.9661,-42.0278,76.69,86,27,26.93,scattered clouds
98,Ceres,US,37.5949,-120.9577,62.82,39,0,3.44,clear sky
99,Alofi,NU,-19.0595,-169.9187,80.74,78,100,14.9,light rain
100,Morondava,MG,-20.2833,44.2833,78.62,78,100,17.45,light rain
101,Hilo,US,19.7297,-155.09,78.53,79,75,11.5,broken clouds
102,Pisco,PE,-13.7,-76.2167,68.05,88,0,5.75,clear sky
103,Itarema,BR,-2.9248,-39.9167,78.75,83,3,10.0,clear sky
104,Georgetown,MY,5.4112,100.3354,80.89,80,20,1.01,few clouds
105,Severo-Kurilsk,RU,50.6789,156.125,30.02,82,89,9.78,overcast clouds
106,Nuevo Progreso,MX,23.1667,-97.95,56.59,41,0,1.99,clear sky
107,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,17.27,broken clouds
108,Lucapa,AO,-8.4192,20.7447,63.32,96,91,2.3,light rain
109,Bandarbeyla,SO,9.4942,50.8122,73.65,75,12,7.87,few clouds
110,Lompoc,US,34.6391,-120.4579,68.31,60,20,11.5,few clouds
111,Bengkulu,ID,-3.8004,102.2655,74.43,93,100,11.41,light rain
112,Kodiak,US,57.79,-152.4072,40.51,87,100,19.57,light rain
113,Winnemucca,US,40.973,-117.7357,48.25,29,0,5.75,clear sky
114,Ponta Do Sol,PT,32.6667,-17.1,68.13,46,43,12.8,scattered clouds
115,Avera,US,33.194,-82.5271,42.31,46,0,6.38,clear sky
116,Celestun,MX,20.8667,-90.4,71.74,77,91,19.6,overcast clouds
117,Port Lincoln,AU,-34.7333,135.8667,78.75,47,12,17.92,few clouds
118,Maunabo,PR,18.0072,-65.8993,74.7,92,100,11.21,light rain
119,La Rioja,ES,42.25,-2.5,33.12,82,5,5.03,clear sky
120,Hithadhoo,MV,-0.6,73.0833,81.57,72,4,6.69,clear sky
121,Maputo,MZ,-25.9653,32.5892,71.74,91,89,11.65,light rain
122,Ossora,RU,59.2353,163.0719,15.39,82,100,11.3,overcast clouds
123,Bosaso,SO,11.2842,49.1816,71.29,78,100,4.21,overcast clouds
124,Kudahuvadhoo,MV,2.6708,72.8944,80.94,69,6,8.39,clear sky
125,Campeche,MX,19.0,-90.5,67.8,94,89,4.29,overcast clouds
126,Lata,PT,40.1629,-8.3327,49.06,78,0,4.52,clear sky
127,Talnakh,RU,69.4865,88.3972,-16.33,100,100,2.51,overcast clouds
128,Airai,TL,-8.9266,125.4092,71.29,67,60,2.24,broken clouds
129,Dikson,RU,73.5069,80.5464,-20.31,100,97,3.44,overcast clouds
130,Hamilton,US,39.1834,-84.5333,19.81,84,0,0.0,clear sky
131,Shenjiamen,CN,29.9576,122.298,41.65,59,67,9.51,broken clouds
132,Maine-Soroa,NE,13.2114,12.0241,60.04,29,0,9.26,clear sky
133,Hay River,CA,60.8156,-115.7999,-11.18,99,13,5.21,few clouds
134,Daska,PK,32.3243,74.3497,46.38,70,100,2.59,overcast clouds
135,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
136,Palembang,ID,-2.9167,104.7458,77.09,94,75,5.75,light rain
137,Saint-Avertin,FR,47.3636,0.7399,41.18,87,75,18.99,broken clouds
138,Mao,ES,39.8885,4.2658,50.56,93,75,9.22,broken clouds
139,Bjerkvik,NO,68.5597,17.5189,33.62,80,100,8.77,overcast clouds
140,Maniitsoq,GL,65.4167,-52.9,2.88,95,100,3.0,snow
141,San Pedro,PH,14.35,121.0167,83.35,68,92,18.23,overcast clouds
142,Campina Verde,BR,-19.5356,-49.4864,74.01,85,100,1.52,overcast clouds
143,Atuona,PF,-9.8,-139.0333,78.69,77,33,20.96,light rain
144,Palmerston,AU,-12.486,130.9833,86.04,84,75,11.5,broken clouds
145,Tautira,PF,-17.7333,-149.15,87.82,74,22,18.99,moderate rain
146,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.0,95,96,1.48,overcast clouds
147,Coxim,BR,-18.5067,-54.76,77.04,84,100,1.7,overcast clouds
148,Sibolga,ID,1.7427,98.7792,76.23,89,100,1.39,overcast clouds
149,Provideniya,RU,64.3833,-173.3,-1.28,81,0,11.74,clear sky
150,Taoudenni,ML,22.6783,-3.9836,68.4,11,100,9.28,overcast clouds
151,Novoagansk,RU,61.9449,76.6625,8.47,95,100,5.39,overcast clouds
152,Idah,NG,7.1065,6.7342,75.43,19,2,2.1,clear sky
153,San Patricio,US,28.017,-97.5169,45.01,46,0,6.73,clear sky
154,Tasiilaq,GL,65.6145,-37.6368,17.76,55,86,8.14,overcast clouds
155,Port Blair,IN,11.6667,92.75,77.04,94,40,0.0,mist
156,Port Hardy,CA,50.6996,-127.4199,43.92,89,100,9.33,overcast clouds
157,Maceio,BR,-9.6658,-35.7353,74.64,88,20,3.44,few clouds
158,Abnub,EG,27.2696,31.1511,48.47,63,0,4.16,clear sky
159,Santiago Del Estero,AR,-27.7951,-64.2615,72.54,53,100,16.37,overcast clouds
160,Ayat,KZ,52.8228,62.5164,16.23,87,100,7.9,overcast clouds
161,Hobyo,SO,5.3505,48.5268,74.91,72,13,11.43,few clouds
162,Manakara,MG,-22.1333,48.0167,78.84,90,100,35.01,moderate rain
163,Ilhabela,BR,-23.7781,-45.3581,78.12,90,100,5.61,light rain
164,Vestmannaeyjar,IS,63.4427,-20.2734,28.76,73,100,19.93,overcast clouds
165,Egvekinot,RU,66.3167,-179.1667,-8.27,87,7,10.42,clear sky
166,Shambu,ET,9.5667,37.1,49.89,54,85,0.36,overcast clouds
167,Chuy,UY,-33.6971,-53.4616,65.61,90,55,8.59,broken clouds
168,Nantucket,US,41.2835,-70.0995,24.96,58,0,17.27,clear sky
169,Rock Springs,US,41.5875,-109.2029,30.04,59,0,5.01,clear sky
170,Luderitz,NA,-26.6481,15.1594,65.8,84,89,8.81,overcast clouds
171,Bethel,US,41.3712,-73.414,22.57,69,0,1.99,clear sky
172,Coruripe,BR,-10.1256,-36.1756,78.06,76,3,9.06,clear sky
173,Tigre,AR,-34.426,-58.5796,64.4,81,75,17.27,broken clouds
174,Souillac,MU,-20.5167,57.5167,79.36,82,100,15.14,overcast clouds
175,Salalah,OM,17.0151,54.0924,71.69,73,75,3.44,broken clouds
176,Presidente Epitacio,BR,-21.7633,-52.1156,75.13,89,100,4.81,overcast clouds
177,Isoka,ZM,-10.1606,32.6335,61.16,96,100,3.24,overcast clouds
178,Sitka,US,57.0531,-135.33,42.69,75,100,27.63,moderate rain
179,Tarauaca,BR,-8.1614,-70.7656,73.04,94,38,2.8,scattered clouds
180,Sioux Lookout,CA,50.1001,-91.917,8.98,94,100,6.35,light snow
181,Tommot,RU,58.9564,126.2925,-7.29,98,100,1.25,overcast clouds
182,Innisfail,AU,-17.5333,146.0333,88.21,80,8,9.06,clear sky
183,Peleduy,RU,59.6289,112.7406,9.39,96,100,5.19,light snow
184,Marsh Harbour,BS,26.5412,-77.0636,73.53,65,5,8.43,clear sky
185,Pevek,RU,69.7008,170.3133,-26.46,99,31,1.41,scattered clouds
186,Adrar,MR,20.5022,-10.0711,64.67,7,0,9.04,clear sky
187,Geraldton,AU,-28.7667,114.6,77.41,73,100,14.97,overcast clouds
188,Acapulco,MX,16.8634,-99.8901,80.42,78,0,8.05,clear sky
189,Vieux-Habitants,GP,16.0589,-61.7659,71.71,78,1,7.9,clear sky
190,Ribeira Grande,PT,38.5167,-28.7,59.61,73,6,13.44,clear sky
191,Kapit,MY,2.0167,112.9333,75.81,94,100,1.54,overcast clouds
192,Kilindoni,TZ,-7.9139,39.6668,79.61,75,100,7.45,overcast clouds
193,Vostok,RU,46.4856,135.8833,-2.45,89,100,3.4,overcast clouds
194,Saldanha,ZA,-33.0117,17.9442,67.5,71,73,3.69,broken clouds
195,Curup,ID,-3.4667,102.5333,68.31,97,100,2.89,light rain
196,Strezhevoy,RU,60.7333,77.5889,15.78,96,100,5.23,light snow
197,Chirongui,YT,-12.9319,45.1483,82.33,74,53,14.81,broken clouds
198,Santa Lucia,ES,27.9117,-15.5407,60.12,34,0,10.36,clear sky
199,Nueva Granada,CO,9.8017,-74.393,80.91,60,53,10.89,broken clouds
200,Almaznyy,RU,48.0448,40.045,19.54,94,100,6.02,overcast clouds
201,Kharp,RU,66.8014,65.8081,-9.26,98,10,2.86,clear sky
